序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,给排水,可曲挠软接头,DN100,KDTF-16C,1.0MPa,,,,,,个,6,104.33,625.98,0.13,81.37740000000001,707.3574,渤海,"橡胶NR2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
2,给排水,可曲挠软接头,DN65,KDTF-16C,1.0MPa,,,,,,个,6,72.1,432.59999999999997,0.13,56.238,488.83799999999997,渤海,"橡胶NR2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
3,给排水,闸阀,DN100,Z45X-16Q,1.0MPa,,,,,,个,6,278.22,1669.3200000000002,0.13,217.01160000000002,1886.3316000000002,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
4,给排水,闸阀,DN65,Z45X-16Q,1.0MPa,,,,,,个,6,190.86,1145.16,0.13,148.8708,1294.0308,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
5,给排水,污水专用球型止回阀,DN100,HQ41X-16Q,1.0MPa,,,,,,个,6,235.81,1414.8600000000001,0.13,183.9318,1598.7918000000002,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
6,给排水,污水专用球型止 回阀,DN65,HQ41X-16Q,1.0MPa,,,,,,个,6,137.41,824.46,0.13,107.17980000000001,931.6398,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
7,给排水,旋流防止器,DN100,XF41X-16P,1.0MPa,,,,,,个,2,565.78,1131.56,0.13,147.1028,1278.6628,渤海,"304不锈钢2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
8,给排水,旋流防止器,DN200,XF41X-16P,1.0MPa,,,,,,个,2,1066.24,2132.48,0.13,277.2224,2409.7024,渤海,"304不锈钢2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
9,给排水,闸阀,DN100,Z45X-16Q,1.0MPa,,,,,,个,12,278.22,3338.6400000000003,0.13,434.02320000000003,3772.6632000000004,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
10,给排水,闸阀,DN200,Z45X-16Q,1.0MPa,,,,,,个,8,814.31,6514.48,0.13,846.8824,7361.3624,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
11,给排水,闸阀,DN80,Z45X-16Q,1.0MPa,,,,,,个,21,224.78,4720.38,0.13,613.6494,5334.0294,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
12,给排水,闸阀,DN150,Z45X-16Q,1.0MPa,,,,,,个,3,509.79,1529.3700000000001,0.13,198.81810000000002,1728.1881,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
13,给排水,可曲挠软接头,DN80,KDTF-16C,1.0MPa,,,,,,个,21,220.54,4631.34,0.13,602.0742,5233.4142,渤海,"304不锈钢2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
14,给排水,可曲挠软接头,DN80,KDTF-25C,2.5MPa,,,,,,个,7,220.54,1543.78,0.13,200.69140000000002,1744.4714,渤海,"304不锈钢2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
15,给排水,闸阀,DN80,Z45T-25Q,2.5MPa,,,,,,个,9,267.2,2404.7999999999997,0.13,312.62399999999997,2717.4239999999995,渤海,"球磨铸铁阀体， 铸铁阀芯，阀芯
涂层为环氧树
脂，铜密封面， 硬密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
16,给排水,闸阀,DN100,Z45T-25Q,2.5MPa,,,,,,个,2,278.22,556.44,0.13,72.33720000000001,628.7772000000001,渤海,"球磨铸铁阀体， 铸铁阀芯，阀芯
涂层为环氧树
脂 ，铜密封面， 硬密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
17,给排水,防水锤消声止回阀,DN80,HC41X-25C,2.5MPa,,,,,,个,7,203.58,1425.0600000000002,0.13,185.25780000000003,1610.3178000000003,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
