序号,名称,型号,风盘管制,风量m³/h,数量,单位,过滤网材质,风盘本体价格,回风箱价格,滴水盘价格,单价合计,价税合计,品牌,备注滴水盘材质、长度
1,风机盘管,FCU-02,四管制,280,24,台,9mm厚铝制过滤网,1000,95,80,1175,28200,新晃,"镀锌滴水盘加长100mm，检测费用一台4000元，风盘为直流电机，不含温控器二通阀，提升泵，1、货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。
2、全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。"
2,风机盘管,FCU-03,四管制,410,5,台,9mm厚铝制过滤网,1100,95,90,1285,6425,新晃,"镀锌滴水盘加长100mm，检测费用一台4000元，风盘为直流电机，不含温控器二通阀，提升泵，1、货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。
2、全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。"
3,风机盘管,FCU-04,四管制,550,30,台,9mm厚铝制过滤网,1200,95,100,1395,41850,新晃,"镀锌滴水盘加长100mm，检测费用一台4000元，风盘为直流电机，不含温控器二通阀，提升泵，1、货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。
2、全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。"
4,风机盘管,FCU-05,四管制,690,22,台,9mm厚铝制过滤网,1200,105,110,1415,31130,新晃,"镀锌滴水盘加长100mm，检测费用一台4000元，风盘为直流电机，不含温控器二通阀，提升泵，1、货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。
2、全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。"
5,风机盘管,FCU-06,四管制,830,211,台,9mm厚铝制过滤网,1200,120,125,1445,304895,新晃,"镀锌滴水盘加长100mm，检测费用一台4000元，风盘为直流电机，不含温控器二通阀，提升泵，1、货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。
2、全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。"
6,风机盘管,FCU-07,四管制,970,1,台,9mm厚铝制过滤网,1100,130,140,1370,1370,新晃,"镀锌滴水盘加长100mm，检测费用一台4000元，风盘为直流电机，不含温控器二通阀，提升泵，1、货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。
2、全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。"
7,风机盘管,FCU-08,四管制,1100,67,台,9mm厚铝制过滤网,1350,175,155,1680,112560,新晃,"镀锌滴水盘加长100mm，检测费用一台4000元，风盘为直流电机，不含温控器二通阀，提升泵，1、货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。
2、全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。"
8,风机盘管,FCU-10,四管制,1360,6,台,9mm厚铝制过滤网,1500,180,170,1850,11100,新晃,"镀锌滴水盘加长100mm，检测费用一台4000元，风盘为直流电机，不含温控器二通阀，提升泵，1、货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。
2、全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。"
1,直流无刷卧式暗装风机盘管,SDCR200E30D21PBF-WA4,0,340,66,台,0,0,0,0,956,63096,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
2,直流无刷卧式暗装风机盘管,SDCR400E30D21PBF-WA4,0,680,47,台,0,0,0,0,1096,51512,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
