序号,项目名称,规格型号,单位,数量,"单价（元）
不含税","金额（元）
不含税",税率,税额（元）,价税合计（元）,位置及用途,品牌,材质,备注
1,不锈钢水箱,不锈钢SUS316L，有效容积V=76M3，14*4*2（H）m分两格,座,1,140442.48,140442.48,0.13,18257.5224,158700.0024,B3层生活原水水箱,浙江杭特,SUS316L,"（1）水箱材质：食品级不锈钢,冲压组装，氩弧焊接成型。                                                           
（2）水箱含玻璃管液位计；检修孔加盖加锁、通气管并加18目铜丝防虫网、内外扶梯、含进出水口，溢流排污管加铜丝防虫网；进出水管带单片碳钢热镀锌（法兰材质）法兰，水箱底座主槽钢10#镀锌槽钢。以上设备不含浮球阀，不含水位控制器及声光报警系统2025.11.24，
1、无预付款；
2、货到现场组装完成且验收合格之后二个月支付至到货金额的95%；
3、质保金5%保留两年"
2,不锈钢水箱,不锈钢SUS316L，有效容积V=59.8M3，8*5.5*2（H）m分两格,座,1,113008.85,113008.85,0.13,14691.1505,127700.0005,B3层生活净水箱,浙江杭特,SUS316L,"（1）水箱材质：食品级不锈钢,冲压组装，氩弧焊接成型。                                                           
（2）水箱含玻璃管液位计；检修孔加盖加锁、通气管并加18目铜丝防虫网、内外扶梯、含进出水口，溢流排污管加铜丝防虫网；进出水管带单片碳钢热镀锌（法兰材质）法兰，水箱底座主槽钢10#镀锌槽钢。以上设备不含浮球阀，不含水位控制器及声光报警系统2025.11.24，
1、无预付款；
2、货到现场组装完成且验收合格之后二个月支付至到货金额的95%；
3、质保金5%保留两年"
3,污水集水箱,不锈钢SUS304 有效容积V=24M3，4*4*2（H）m,座,1,30796.46,30796.46,0.13,4003.5398,34799.9998,B3层,浙江杭特,SUS304L,"2025.11.24，
1、无预付款；
2、货到现场组装完成且验收合格之后二个月支付至到货金额的95%；
3、质保金5%保留两年"
4,低区银离子消毒器,V=10M3，N=60W,台,1,11327.43,11327.43,0.13,1472.5659,12799.9959,B3层,浙江杭特,SUS316L,"2025.11.24，
1、无预付款；
2、货到现场组装完成且验收合格之后二个月支付至到货金额的95%；
3、质保金5%保留两年"
5,中区、高区银离子消毒器,V=15M3，N=60W,台,2,10619.47,21238.94,0.13,2761.0622,24000.0022,B3层,浙江杭特,SUS316L,"2025.11.24，
1、无预付款；
2、货到现场组装完成且验收合格之后二个月支付至到货金额的95%；
3、质保金5%保留两年"
1,不锈钢水箱,SUS304（9*2+18*5）*2m 120M3,座,1,104336.28,104336.28,0.13,13563.7164,117899.9964,0,晔达,SUS304,2025.8.4，无预付款，货到现场验收合格2个月后支付送货金额70%，竣工验收付至80%，结算完成移交档案后付至95%，质保5%，两年
2,不锈钢水箱,SUS304（1*6+2.5*8）*3m 56M3,座,1,41415.93,41415.93,0.13,5384.0709,46800.0009,0,晔达,SUS304,2025.8.4，无预付款，货到现场验收合格2个月后支付送货金额70%，竣工验收付至80%，结算完成移交档案后付至95%，质保5%，两年
3,不锈钢水箱,SUS304 4*3*2m 24M3,座,1,20619.47,20619.47,0.13,2680.5311,23300.0011,0,晔达,SUS304,2025.8.4，无预付款，货到现场验收合格2个月后支付送货金额70%，竣工验收付至80%，结算完成移交档案后付至95%，质保5%，两年
4,不锈钢水箱,SUS304 23*7.5*3.5m 470M3,座,1,231858.41,231858.41,0.13,30141.5933,262000.0033,0,晔达,SUS304,2025.8.4，无预付款，货到现场验收合格2个月后支付送货金额70%，竣工验收付至80%，结算完成移交档案后付至95%，质保5%，两年
1,不锈钢水箱,L*B*H=5000*3000*2000,座,2,24849.5575221239,49699.1150442478,0.13,6460.88495575221,56160,商业304不锈钢生活水箱,宏源,304,"含内外爬梯，玻璃管液位计、通气孔
、进出口、溢流、排污预留接口等图
纸一切要求；生活水箱内设置导流装
置。水箱底部厚度2.0mm、下层侧板厚
度2.0mm、上层侧板厚1.5mm,箱顶厚
度1.2mm，2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
2,不锈钢水箱,L*B*H=6000*4000*2000,座,2,37592.9203539823,75185.8407079646,0.13,9774.1592920354,84960,办公304不锈钢生活水箱,宏源,304,"含内外爬梯，玻璃管液位计、通气孔
、进出口、溢流、排污预留接口等图
纸一切要求；生活水箱内设置导流装
置。水箱底部厚度2.0mm、下层侧板厚
度2.0mm、上层侧板厚1.5mm,箱顶厚
度1.2mm，2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
1,不锈钢水箱,8000*5000*2000（h),台,1,88318.5840707965,88318.5840707965,0.13,11481.4159292035,99800,"材质：sus304 ；底板：2.0mm平板；侧板：2.0mm凹凸板 ；侧
板：1.5mm凹凸板；顶板：1.2mm凹凸板",上海沪研金属制品有限公司,304,2025.6.26；
2,不锈钢水箱,2000*1500*2000（h）,台,1,17256.6371681416,17256.6371681416,0.13,2243.36283185841,19500,"材质：sus304 ；底板：1.5mm平板；侧板：1.5mm凹凸板 ；侧
板：1.5mm凹凸板；顶板：1.0mm凹凸板；外保护层：0.5mm不锈
钢板",上海沪研金属制品有限公司,304,2025.6.26；
3,水箱臭氧消毒器,WTS-2W(外置式),台,1,5044.24778761062,5044.24778761062,0.13,655.752212389381,5700,N=653w，u=220v,石家庄睿汐环保科技有限公司,0,2025.6.26；
