序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
1,150°防火阀,,630×250,,6,个,239,1434,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
2,150°防火阀,,630×320,,6,个,260,1560,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
3,150°防火阀,,800×400,,12,个,322,3864,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
4,150°防火阀,,900×400,,4,个,345,1380,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
5,150°防火阀,,900×500,,1,个,385,385,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
6,150°防火阀,,1250×500,,3,个,477,1431,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
7,150°防火阀,,320×250,,1,个,210,210,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
8,150°防火阀,,400×200,,2,个,213,426,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
9,150°防火阀,,400×250,,1,个,217,217,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
10,150°防火阀,,500×250,,2,个,225,450,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
11,150°防火阀,,500×320,,2,个,234,468,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
12,150°防火阀,,500×400,,1,个,255,255,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
13,150°防火阀,,630×400,,6,个,285,1710,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
14,150°防火阀,,630×500,,2,个,315,630,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
15,150°防火阀,,700×400,,4,个,301,1204,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
16,150°防火阀,,700×850,,1,个,546,546,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
17,150°防火阀,,800×250,,1,个,268,268,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
18,150°防火阀,,800×320,,7,个,294,2058,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
19,150°防火阀,,800×500,,6,个,360,2160,新木,2025.1.20；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
