序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,托盘式热浸镀锌桥架1000*200,1000*200,钢制,3,3,1.5,177,m,279,103.5,382.5,67702.5,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
2,托盘式热浸镀锌桥架800*200,800*200,钢制,3,3,1.5,304,m,234.89999999999998,83.7,318.59999999999997,96854.4,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
3,托盘式热浸镀锌桥架800*150,800*150,钢制,3,3,1.5,202,m,214.10000000000002,83.7,297.8,60155.600000000006,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
4,托盘式热浸镀锌桥架600*200,600*200,钢制,3,3,1.5,105,m,198.60000000000002,63.9,262.5,27562.5,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
5,托盘式热浸镀锌桥架600*150,600*150,钢制,3,3,1.5,196,m,175.9,63.9,239.8,47000.8,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
6,托盘式热浸镀锌桥架500*150,500*150,钢制,3,3,1.5,302,m,156.3,52.20000000000001,208.50000000000003,62967.00000000001,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
7,托盘式热浸镀锌桥架400*150,400*150,钢制,2,2,1.2,527,m,94.30000000000001,36.9,131.20000000000002,69142.40000000001,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
8,托盘式热浸镀锌桥架300*150,300*150,钢制,2,2,1.2,1066,m,81.6,27.9,109.5,116727,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
9,托盘式热浸镀锌桥架300*100,300*100,钢制,2,2,1.2,86,m,67.8,27.9,95.69999999999999,8230.199999999999,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
10,托盘式热浸镀锌桥架200*100,200*100,钢制,1.2,1.2,1,797,m,39.3,18,57.3,45668.1,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
11,托盘式热浸镀锌防火桥架1000*200,1000*200,钢制,3,3,1.5,144,m,306.5,112.5,419,60336,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
12,托盘式热浸镀锌防火桥架800*200,800*200,钢制,3,3,1.5,166,m,258.5,90.90000000000002,349.40000000000003,58000.40000000001,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
13,托盘式热浸镀锌防火桥架800*150,800*150,钢制,3,3,1.5,146,m,235.7,90.90000000000002,326.6,47683.600000000006,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
14,托盘式热浸镀锌防火桥架600*150,600*150,钢制,3,3,1.5,125,m,193.60000000000002,69.3,262.90000000000003,32862.50000000001,天源华威,国家标准,"2025.6.18，(1)预付款无；
(2)货到现场验收合格三个月内支付到货款的75%;
(3)竣工验收后付到货款的85%;
(4)结算完成并移交档案资料且通过档案验收后付至结算金额的97%。"
